Run Number,Hits,Average Energy,Extracted Energy (keV),Thickness (cm),,EnergyP,HitsP,MAC
333,9888,7.076604913,7.103290121,0.000775368,,0.996243261,0.9888,7.18E+00
334,9910,7.228336628,7.255065261,0.000430947,,0.996315866,0.991,1.09E+01
335,9905,7.386787897,7.410083363,8.20E-05,,0.996856248,0.9905,5.73E+01
336,9909,7.540774318,7.568413718,8.41E-05,,0.996348059,0.9909,5.64E+01
337,9902,7.702613231,7.730127098,8.62E-05,,0.996440697,0.9902,5.76E+01
338,9897,7.86757538,7.895295789,9.03E-05,,0.996488997,0.9897,5.69E+01
339,9898,8.035842885,8.063993619,9.55E-05,,0.996509083,0.9898,5.33E+01
34,3578,0.0127676,0.012767627,0.000101775,,0.999997853,0.3578,3.74E+03
340,9899,8.199385229,8.236295995,0.000109072,,0.995518524,0.9899,4.97E+01
341,9901,8.382357424,8.412279935,0.000117877,,0.996442996,0.9901,4.25E+01
342,9908,8.561827535,8.592024103,0.000126544,,0.996485512,0.9908,3.74E+01
343,9911,8.744902549,8.775608842,0.000133558,,0.99650095,0.9911,3.45E+01
344,9904,8.922047333,8.963116215,0.00014092,,0.995418013,0.9904,3.74E+01
345,9898,9.118782253,9.154630035,0.000150248,,0.996084191,0.9898,3.49E+01
346,9901,9.306057922,9.350235907,0.000159775,,0.995275201,0.9901,3.40E+01
347,9923,9.515204699,9.550021267,0.000164544,,0.996354294,0.9923,2.56E+01
348,9926,9.71687512,9.754075416,0.000169295,,0.996186179,0.9926,2.46E+01
349,9915,9.925858071,9.962489565,0.00017609,,0.996323058,0.9915,2.57E+01
35,3731,0.0130404,0.013040432,0.000183367,,0.999997564,0.3731,1.99E+03
350,9896,10.14115646,10.17535687,0.000200876,,0.996638898,0.9896,2.55E+01
351,9924,10.35440434,10.39277249,0.000220545,,0.996308189,0.9924,1.90E+01
352,9928,10.56758785,10.61483361,0.000227538,,0.995549082,0.9928,1.90E+01
353,9916,10.81108949,10.84163947,0.00023468,,0.997182162,0.9916,1.78E+01
354,9934,11.03375888,11.07329147,0.000129642,,0.996429915,0.9934,2.91E+01
355,9944,11.26720358,11.30989315,1.71E-05,,0.996225466,0.9944,2.04E+02
356,9943,11.52765597,11.55155027,1.00E-05,,0.997931507,0.9943,2.88E+02
357,9934,11.766368,11.79837085,1.00E-05,,0.99728752,0.9934,3.46E+02
358,9915,12.02079838,12.05046521,1.00E-05,,0.997538118,0.9915,4.07E+02
359,9921,12.277709,12.30794604,1.00E-05,,0.997543291,0.9921,3.85E+02
36,3980,0.0133191,0.013319065,1.00E-05,,1.000002621,0.398,3.41E+04
360,9884,12.52875553,12.57092844,1.00E-05,,0.996645204,0.9884,5.57E+02
361,9881,12.81064508,12.83952994,1.00E-05,,0.997750318,0.9881,5.27E+02
362,9880,13.08094865,13.11387063,1.09E-05,,0.99748953,0.988,4.97E+02
363,9882,13.36625942,13.39407311,2.95E-05,,0.997923433,0.9882,1.75E+02
364,9886,13.64029318,13.68026265,4.85E-05,,0.997078311,0.9886,1.10E+02
365,9855,13.94373497,13.97256717,5.00E-05,,0.997936514,0.9855,1.23E+02
366,9887,14.22947587,14.27111732,5.00E-05,,0.997082117,0.9887,1.06E+02
367,9841,14.52905042,14.57604656,5.00E-05,,0.996775797,0.9841,1.43E+02
368,9852,14.85475666,14.88749118,5.00E-05,,0.997801206,0.9852,1.27E+02
369,9864,15.16780405,15.20559041,5.00E-05,,0.99751497,0.9864,1.20E+02
37,4077,0.013602183,0.013603652,5.00E-05,,0.999892038,0.4077,6.65E+03
370,9851,15.48343121,15.53048642,5.00E-05,,0.996970139,0.9851,1.34E+02
371,9837,15.81018381,15.86232444,5.00E-05,,0.996712926,0.9837,1.46E+02
372,9854,16.17152724,16.20125281,5.00E-05,,0.99816523,0.9854,1.23E+02
373,9857,16.50930728,16.54742302,5.00E-05,,0.997696575,0.9857,1.24E+02
374,9872,16.86885633,16.9009898,5.00E-05,,0.998098722,0.9872,1.10E+02
375,9847,17.22039782,17.26211121,5.00E-05,,0.997583529,0.9847,1.32E+02
376,9870,17.59200116,17.63094865,5.00E-05,,0.997790959,0.987,1.13E+02
377,9874,17.94068707,18.007667,5.00E-05,,0.996280477,0.9874,1.22E+02
378,9881,18.34551009,18.39243464,5.00E-05,,0.997448704,0.9881,1.08E+02
379,9884,18.74113439,18.78542357,5.00E-05,,0.997642365,0.9884,1.04E+02
38,4167,0.0138943,0.01389432,5.00E-05,,0.999998594,0.4167,6.48E+03
380,9897,19.12872201,19.18680944,5.00E-05,,0.996972533,0.9897,9.92E+01
381,9900,19.54132489,19.59677167,5.00E-05,,0.997170616,0.99,9.54E+01
382,9909,19.96372097,20.01549352,5.00E-05,,0.997413376,0.9909,8.69E+01
383,9904,20.40854653,20.44316215,5.00E-05,,0.998306738,0.9904,8.40E+01
384,9906,20.81845795,20.87996873,5.00E-05,,0.997054077,0.9906,9.18E+01
385,9923,21.27452098,21.32610849,5.00E-05,,0.997581016,0.9923,7.52E+01
386,9912,21.73437307,21.78178087,5.00E-05,,0.997823511,0.9912,8.16E+01
387,9923,22.16702168,22.24718955,5.00E-05,,0.996396495,0.9923,8.40E+01
388,9920,22.66573798,22.72254256,5.00E-05,,0.997500078,0.992,7.80E+01
389,9939,23.14024066,23.20805237,5.00E-05,,0.997078095,0.9939,6.70E+01
39,4316,0.0141912,0.014191198,5.00E-05,,1.000000157,0.4316,6.22E+03
390,9934,23.63395863,23.70393602,5.00E-05,,0.997047858,0.9934,7.10E+01
391,9932,24.15286025,24.21041516,5.00E-05,,0.997622721,0.9932,6.82E+01
