File,Entries,Mean,Max Energy,E0,Thickness (m),Energy P,HITS P,Intensity,Coeff
E455.root,1253,0.132221,0.132221,0.1322207,2.80E-07,0.999997731,0.1253,0.125299716,7.42E+06
E456.root,1199,0.132882,0.132882,0.13288181,2.80E-07,0.99999857,0.1199,0.119899829,7.58E+06
E457.root,1201,0.133546,0.133546,0.13354621,2.80E-07,1.000001572,0.1201,0.120100189,7.57E+06
E458.root,1243,0.134214,0.134214,0.13421395,2.80E-07,0.999999627,0.1243,0.124299954,7.45E+06
E460.root,1225,0.134885,0.134885,0.13488502,2.80E-07,1.000000148,0.1225,0.122500018,7.50E+06
E461.root,1186,0.135559,0.135559,0.13555944,2.80E-07,1.000003246,0.1186,0.118600385,7.61E+06
E462.root,1160,0.136237,0.136237,0.13623724,2.80E-07,1.000001762,0.116,0.116000204,7.69E+06
E463.root,1137,0.136918,0.136918,0.13691842,2.80E-07,1.000003068,0.1137,0.113700349,7.76E+06
E464.root,1145,0.137603,0.137603,0.13760302,2.80E-07,1.000000145,0.1145,0.114500017,7.74E+06
E465.root,1189,0.138291,0.138291,0.13829103,2.80E-07,1.000000217,0.1189,0.118900026,7.61E+06
E466.root,1127,0.138982,0.138982,0.13898249,2.80E-07,1.000003526,0.1127,0.112700397,7.80E+06
E467.root,1111,0.139677,0.139677,0.1396774,2.80E-07,1.000002864,0.1111,0.111100318,7.85E+06
E468.root,1107,0.140376,0.140376,0.14037579,2.80E-07,0.999998504,0.1107,0.110699834,7.86E+06
E469.root,1099,0.141078,0.141078,0.14107766,2.80E-07,0.99999759,0.1099,0.109899735,7.89E+06
E471.root,1129,0.141783,0.141783,0.14178305,2.80E-07,1.000000353,0.1129,0.11290004,7.79E+06
E472.root,1026,0.142492,0.142492,0.14249197,2.80E-07,0.999999789,0.1026,0.102599978,8.13E+06
E473.root,1093,0.143204,0.143204,0.14320443,2.80E-07,1.000003003,0.1093,0.109300328,7.91E+06
E474.root,1068,0.14392,0.14392,0.14392045,2.80E-07,1.000003127,0.1068,0.106800334,7.99E+06
E475.root,1061,0.14464,0.14464,0.14464005,2.80E-07,1.000000346,0.1061,0.106100037,8.01E+06
E476.root,1061,0.145363,0.145363,0.14536325,2.80E-07,1.00000172,0.1061,0.106100182,8.01E+06
E477.root,1032,0.14609,0.14609,0.14609007,2.80E-07,1.000000479,0.1032,0.103200049,8.11E+06
E478.root,1049,0.146821,0.146821,0.14682052,2.80E-07,0.999996731,0.1049,0.104899657,8.05E+06
E479.root,1063,0.147555,0.147555,0.14755462,2.80E-07,0.999997425,0.1063,0.106299726,8.01E+06
E480.root,984,0.148292,0.148292,0.14829239,2.80E-07,1.00000263,0.0984,0.098400259,8.28E+06
E482.root,1029,0.149034,0.149034,0.14903386,2.80E-07,0.999999061,0.1029,0.102899903,8.12E+06
E483.root,950,0.149779,0.149779,0.14977903,2.80E-07,1.0000002,0.095,0.095000019,8.41E+06
E484.root,972,0.150528,0.150528,0.15052792,2.80E-07,0.999999469,0.0972,0.097199948,8.32E+06
